Date,Location,Acanthastrea,Acropora,Astrea,Astreopora,Crustose_Coralline_Algae_or_Bare_Space,Cyphastrea,Fungiidae_unidentified,Gardineroseris,Goniastrea,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Macroalgae,Millepora,Montipora,Non_coralline_Crustose_Algae,Pachyseris,Pavona,Plesiastrea,Pocillopora,Porites,Porites_irregularis,Porites_rus,Porites_spp_Massive,Psammocora,Sand,Sandolitha,Soft_Coral,Stylocoeniella,Tubastrea,Turf,Unknown_or_Other,Stony_Coral
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,0,22.5,0,0,0,0,0,0,77.5
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,30.2,0,0,0,0,4.1,0,20.7
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,0,0,0,0,74.2,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,6.7,0,0,0,0,2.5,0,0,0,0,12.3,0,6.7
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,0,0,0,0,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0,0,15.4,0,0,0,0,0.6,0,25.1
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0.6,0,0,0,0,22.6,0,47.6
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0.6,0,2.4
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,0,0,0,0,84.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,5,0,0,0,0,0,0,10.1
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 8,0,0,0,0,26.1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,71.3,0,0,0,0,1.9,0,0,0,0,0,0,71.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,0,0,0,0,36.1,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,32.3,0,0,0,0,7.6,0,0,0,0,19.6,0,32.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,0,0,0,0,54.9,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,23.5,0,0,0,0,3.1,0,0,0,0,16.7,0,23.5
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,0,0,0,0,13.2,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,15.1,0,0,0,0,2,0,0,0,0,63.8,0,15.1
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,0,0,0,0,49.1,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,47.3,0,0,0,0,2.4,0,0,0,0,0,0,47.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,0,0,0,0,17.6,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,44.2,0,0,0,0,1.8,0,0,0,0,15.8,0,44.2
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,0,0,0,0,53.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,36.8,0,0,0,0,5.5,0,0,0,0,3.7,0,36.8
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,6.5,0,0,0,0,0,0,24.5
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,0,0,0,0,61.5,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0.6,0,0,12.2,0,0,0,0,0.6,0,0,0,0,16.7,0,12.8
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,0,0,0,0,50.6,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,10.3,0,0,0,0,32.1,0,0,0,0,4.5,0,10.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,0,0,0,0,24.1,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,25.3,0,0,0,0,0.6,0,0,0,0,43.4,0,25.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,44,0,0,0,0,4.4,0,18.2
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,35.4,0,0,0,0,0,0,10.8
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,0,0,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,33.5,0,0,0,0,0,0,7
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 6,0,0,0,0,98.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 7,0,0,0,0,86.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0.6,0,0,0,0,0,0,12.7
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,0,0,0,0,39,0,1.9,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,0,0,0,0,45.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0,0,20.6,0,0,0,0,0,0,79.4
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,0,0,0,0,29.7,0,0,0,0,0,0,0,0,6.7,0,0.6,0,0,0,0,0,4.2,0,0,0,0,58.8,0,0,0,0,0,0,4.8
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,0,0,0,0,34.4,0,0,0,0,0,0,0,0,4.9,0,1.8,0,0,1.2,0,0,0,0,0,0,0,54.6,0,0,0,0,3.1,0,3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,0,0,0,0,84.4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,0,0,0,0,29.9,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,42.1,0,0,0,0,12.2,0,0,0,0,0,0,42.1
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,0,0,0,0,27.3,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,10.3,0,0,0,0,58.2,0,0,0,0,0,0,10.3
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,0,0,0,0,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,24,0,0,0,0,0,0,28.6
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,0,0,0,0,15.4,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,48.8,0,0,0,0,34.6,0,0,0,0,0,0,48.8
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,0,0,0,0,6.8,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,1.2,0,0,0,0,84.5,0,0,0,0,0,0,1.2
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,0,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0,24.6,0,0,0,0,19.8,0,24.6
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,21.1,0,5.9
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 5,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,0,11,0,0
